transaction_number,stock_name,type,quantity
0,AMD,sell,6
1,NFLX,buy,5
2,AMD,sell,8
3,META,buy,12
4,APPL,buy,12
5,AMZN,sell,15
6,NFLX,sell,1
7,GOOG,buy,14
8,TSLA,sell,13
9,IBM,sell,13
10,NFLX,sell,13
11,AMD,sell,20
12,AMZN,sell,6
13,MSFT,buy,1
14,NFLX,sell,14
15,AMZN,sell,15
16,TSLA,sell,6
17,MSFT,buy,14
18,NVDA,buy,1
19,TSLA,sell,20
20,NFLX,buy,9
21,AMD,sell,17
22,META,buy,15
23,IBM,sell,1
24,NFLX,buy,15
25,APPL,sell,10
26,META,sell,8
27,GOOG,sell,1
28,NVDA,sell,14
29,NFLX,buy,16
30,APPL,buy,1
31,NVDA,buy,19
32,MSFT,sell,13
33,IBM,buy,15
34,META,sell,17
35,APPL,buy,9
36,TSLA,buy,16
37,META,buy,4
38,AMZN,sell,10
39,NFLX,buy,15
40,GOOG,sell,14
41,AMD,buy,3
42,MSFT,buy,14
43,IBM,buy,14
44,META,sell,20
45,APPL,buy,20
46,IBM,sell,5
47,NFLX,buy,8
48,IBM,buy,14
49,APPL,sell,3
50,NFLX,sell,10
51,IBM,sell,16
52,NVDA,buy,12
53,AMZN,sell,6
54,APPL,sell,2
55,APPL,buy,12
56,NFLX,sell,10
57,GOOG,buy,2
58,META,sell,4
59,IBM,buy,18
60,APPL,buy,16
61,TSLA,buy,1
62,MSFT,sell,16
63,MSFT,sell,16
64,GOOG,buy,4
65,NVDA,sell,19
66,GOOG,buy,17
67,NVDA,buy,1
68,IBM,sell,4
69,GOOG,buy,15
70,AMD,buy,6
71,GOOG,buy,12
72,TSLA,buy,18
73,META,buy,2
74,META,buy,18
75,NFLX,buy,17
76,NFLX,buy,2
77,GOOG,buy,11
78,TSLA,buy,6
79,TSLA,sell,11
80,TSLA,buy,20
81,META,sell,14
82,GOOG,buy,3
83,NFLX,sell,6
84,GOOG,buy,17
85,MSFT,sell,13
86,IBM,sell,2
87,META,buy,11
88,AMZN,sell,8
89,IBM,sell,15
90,APPL,sell,8
91,IBM,buy,10
92,GOOG,sell,1
93,APPL,buy,7
94,AMD,sell,10
95,TSLA,sell,20
96,NVDA,buy,15
97,META,sell,18
98,META,buy,3
99,IBM,sell,15
100,AMZN,sell,5
101,APPL,sell,3
102,AMZN,buy,4
103,AMZN,buy,15
104,TSLA,sell,13
105,IBM,sell,13
106,NFLX,sell,16
107,IBM,buy,20
108,TSLA,buy,15
109,AMD,sell,11
110,NVDA,sell,16
111,AMZN,buy,18
112,AMZN,buy,18
113,MSFT,buy,2
114,META,sell,13
115,MSFT,sell,11
116,APPL,sell,11
117,META,sell,8
118,NVDA,sell,10
119,APPL,sell,11
120,AMZN,buy,1
121,META,sell,12
122,GOOG,sell,19
123,APPL,sell,11
124,MSFT,buy,1
125,IBM,buy,9
126,APPL,buy,7
127,NFLX,buy,6
128,NVDA,sell,12
129,MSFT,sell,17
130,NFLX,sell,9
131,NVDA,buy,16
132,MSFT,buy,7
133,META,buy,3
134,AMD,sell,18
135,TSLA,buy,18
136,TSLA,sell,20
137,NFLX,buy,12
138,NFLX,sell,9
139,META,sell,3
140,MSFT,buy,2
141,GOOG,sell,8
142,APPL,sell,3
143,AMZN,buy,18
144,NFLX,buy,4
145,TSLA,buy,7
146,IBM,sell,18
147,META,sell,9
148,AMD,sell,3
149,NVDA,buy,5
150,NVDA,sell,3
151,NFLX,sell,17
