transaction_number,stock_name,type,quantity
0,NFLX,sell,14
1,AMZN,buy,1
2,AMD,buy,16
3,AMZN,buy,12
4,META,sell,12
5,AMZN,buy,7
6,IBM,sell,6
7,NFLX,buy,16
8,NFLX,buy,6
9,APPL,buy,17
10,IBM,buy,7
11,GOOG,sell,4
12,META,sell,7
13,IBM,sell,15
14,AMD,sell,15
15,GOOG,buy,6
16,AMZN,buy,15
17,GOOG,sell,13
18,TSLA,buy,1
19,NVDA,buy,18
20,AMZN,buy,4
21,AMD,buy,17
22,GOOG,buy,15
23,GOOG,sell,8
24,NFLX,sell,17
25,NVDA,buy,1
26,AMD,buy,15
27,MSFT,sell,10
28,TSLA,sell,2
29,NFLX,buy,20
30,GOOG,sell,12
31,NVDA,buy,3
32,NFLX,sell,15
33,APPL,sell,6
34,NVDA,sell,8
35,NFLX,sell,4
36,AMD,sell,10
37,NFLX,buy,9
38,TSLA,sell,8
39,AMZN,sell,6
40,APPL,sell,2
41,IBM,sell,20
42,META,sell,5
43,TSLA,sell,2
44,GOOG,buy,16
45,AMD,buy,16
46,GOOG,buy,9
47,META,buy,16
48,AMZN,sell,11
49,META,buy,6
50,TSLA,buy,16
51,AMZN,buy,3
52,APPL,sell,5
53,TSLA,sell,20
54,IBM,sell,9
55,META,buy,3
56,IBM,sell,8
57,NVDA,sell,4
58,AMD,buy,2
59,MSFT,sell,10
60,MSFT,sell,15
61,AMD,sell,19
62,APPL,buy,17
63,MSFT,buy,7
64,GOOG,buy,14
65,META,sell,16
66,AMZN,sell,1
67,TSLA,buy,20
68,IBM,buy,19
69,AMD,buy,15
70,GOOG,buy,16
71,AMZN,sell,1
72,NVDA,buy,9
73,GOOG,sell,16
74,AMD,sell,6
75,NFLX,sell,8
76,NFLX,sell,10
77,APPL,sell,10
78,NVDA,buy,7
79,GOOG,buy,6
80,AMZN,buy,15
81,AMZN,sell,3
82,IBM,buy,17
83,NVDA,buy,18
84,AMZN,sell,20
85,AMZN,buy,15
86,AMZN,buy,15
87,MSFT,sell,12
88,AMZN,sell,19
89,IBM,buy,16
90,AMD,buy,4
91,IBM,sell,2
92,META,buy,16
93,AMD,sell,10
94,AMD,sell,19
95,IBM,buy,18
96,APPL,sell,6
97,AMZN,sell,12
98,AMZN,buy,15
99,IBM,sell,4
100,NFLX,sell,13
101,IBM,sell,4
102,TSLA,sell,5
103,IBM,buy,4
104,META,buy,11
105,APPL,buy,8
106,NVDA,buy,2
107,NVDA,sell,7
108,TSLA,buy,18
109,APPL,buy,7
110,META,buy,20
111,IBM,sell,4
112,APPL,buy,19
113,MSFT,buy,6
114,APPL,buy,6
115,IBM,sell,12
116,NVDA,sell,17
117,APPL,buy,19
118,AMZN,buy,9
119,NFLX,buy,16
120,GOOG,sell,9
121,GOOG,buy,12
122,GOOG,sell,18
123,TSLA,sell,16
124,AMZN,buy,4
125,TSLA,sell,20
126,META,sell,18
127,NFLX,buy,16
128,TSLA,sell,11
129,NFLX,sell,7
130,MSFT,sell,7
131,META,sell,11
132,NFLX,buy,3
133,META,buy,12
134,NFLX,buy,5
135,TSLA,sell,12
136,MSFT,sell,8
137,GOOG,sell,20
138,APPL,buy,5
139,MSFT,sell,17
140,NVDA,buy,2
141,NVDA,buy,20
142,GOOG,buy,6
143,GOOG,sell,11
144,TSLA,sell,6
145,AMD,buy,7
146,AMZN,sell,12
147,GOOG,sell,9
148,AMZN,sell,5
149,NFLX,sell,17
150,TSLA,sell,2
151,META,buy,17
152,MSFT,buy,14
153,META,sell,13
154,TSLA,buy,15
155,META,sell,20
156,TSLA,buy,19
157,META,buy,9
158,IBM,buy,18
159,MSFT,sell,9
160,TSLA,buy,7
161,GOOG,buy,18
162,NFLX,buy,5
163,GOOG,buy,8
164,NFLX,buy,2
165,AMD,sell,16
166,NFLX,buy,16
167,NFLX,buy,7
168,NVDA,buy,8
169,MSFT,buy,6
170,TSLA,sell,10
171,MSFT,buy,13
172,MSFT,sell,12
173,IBM,buy,17
174,AMZN,buy,20
175,NVDA,buy,15
176,IBM,buy,8
177,NVDA,buy,7
178,TSLA,buy,3
179,NVDA,sell,15
180,MSFT,sell,17
181,NFLX,sell,8
182,AMZN,sell,3
183,META,sell,8
184,MSFT,buy,18
185,TSLA,sell,5
186,MSFT,buy,20
187,NFLX,sell,3
188,AMZN,buy,9
189,TSLA,buy,18
190,AMD,sell,4
191,META,buy,18
192,NFLX,buy,16
193,IBM,buy,17
194,NFLX,sell,18
195,APPL,buy,10
196,NFLX,sell,15
197,AMZN,sell,5
198,GOOG,sell,19
199,NFLX,sell,2
200,APPL,sell,13
201,AMZN,buy,15
202,TSLA,buy,20
203,TSLA,buy,1
204,GOOG,buy,10
205,GOOG,sell,16
206,APPL,sell,7
207,META,sell,20
208,GOOG,buy,6
209,IBM,buy,16
210,MSFT,buy,14
211,NFLX,buy,3
212,AMZN,sell,16
213,NFLX,sell,18
214,META,buy,6
215,AMZN,buy,13
216,APPL,sell,12
217,AMD,sell,11
218,META,sell,4
219,TSLA,sell,4
220,MSFT,sell,18
221,NVDA,sell,13
222,MSFT,buy,9
223,IBM,buy,6
224,META,sell,1
225,GOOG,buy,8
226,AMD,sell,9
227,TSLA,buy,14
228,AMD,buy,20
229,META,sell,4
230,AMZN,sell,17
231,AMZN,sell,13
232,NVDA,sell,1
233,TSLA,sell,6
234,TSLA,buy,16
235,IBM,buy,7
236,TSLA,sell,4
237,APPL,sell,1
238,APPL,sell,7
239,AMZN,buy,9
240,IBM,sell,9
241,GOOG,sell,17
242,NVDA,sell,14
243,TSLA,sell,4
244,NVDA,sell,3
245,TSLA,sell,7
246,MSFT,sell,1
247,NVDA,sell,13
248,MSFT,sell,14
249,TSLA,sell,3
250,AMZN,buy,17
251,IBM,sell,19
252,APPL,buy,1
253,MSFT,sell,5
254,AMD,buy,12
255,NVDA,sell,15
256,MSFT,sell,15
257,META,sell,6
258,TSLA,buy,9
259,NVDA,buy,17
260,AMZN,sell,16
261,AMZN,sell,7
262,TSLA,buy,4
263,GOOG,sell,1
264,MSFT,buy,13
265,AMZN,sell,2
266,NFLX,sell,5
267,GOOG,sell,2
268,MSFT,buy,19
269,APPL,buy,10
270,AMZN,buy,13
271,MSFT,buy,19
272,MSFT,buy,19
273,APPL,sell,13
274,NFLX,sell,14
275,AMD,buy,7
276,TSLA,buy,7
277,AMD,sell,19
278,GOOG,buy,14
279,AMD,buy,2
280,AMZN,buy,16
281,AMD,sell,10
282,NFLX,sell,6
283,AMD,sell,6
284,AMZN,sell,14
285,NVDA,sell,20
286,APPL,sell,11
287,MSFT,sell,14
288,META,buy,20
289,MSFT,sell,2
290,TSLA,sell,3
291,TSLA,sell,4
292,NVDA,sell,17
293,MSFT,sell,4
294,GOOG,buy,7
295,IBM,buy,10
296,AMZN,sell,14
297,GOOG,buy,1
298,MSFT,sell,12
299,AMD,sell,7
300,IBM,buy,7
301,AMZN,buy,12
302,META,sell,14
303,META,buy,10
304,AMD,buy,14
305,GOOG,buy,8
306,NVDA,buy,10
307,AMZN,sell,6
308,AMD,sell,17
309,NVDA,sell,1
310,MSFT,sell,3
311,APPL,sell,3
312,AMZN,buy,17
313,META,sell,14
314,META,buy,15
315,MSFT,buy,15
316,GOOG,buy,1
317,AMZN,sell,13
318,AMZN,buy,13
319,NVDA,sell,1
320,TSLA,buy,3
321,APPL,sell,1
322,GOOG,sell,14
323,META,buy,10
324,NFLX,sell,5
325,NFLX,sell,2
326,NFLX,sell,18
327,NFLX,buy,7
328,IBM,buy,11
329,NFLX,buy,14
330,TSLA,buy,6
331,APPL,buy,11
332,AMD,buy,19
333,NVDA,buy,6
334,NFLX,sell,15
335,APPL,sell,15
336,IBM,buy,11
337,NVDA,sell,4
338,MSFT,sell,10
339,GOOG,buy,6
340,MSFT,sell,6
341,TSLA,buy,4
342,AMD,sell,18
343,META,buy,7
344,NFLX,sell,7
345,MSFT,buy,4
346,APPL,buy,7
347,GOOG,sell,8
348,MSFT,buy,13
349,NFLX,buy,19
350,TSLA,sell,9
351,MSFT,sell,13
352,META,buy,11
353,TSLA,buy,17
354,NVDA,sell,14
355,TSLA,buy,16
356,NVDA,sell,15
357,GOOG,buy,6
358,IBM,sell,14
359,NFLX,buy,18
360,GOOG,sell,8
361,META,sell,15
362,AMZN,buy,12
363,AMD,sell,6
364,IBM,sell,13
365,MSFT,sell,8
366,NFLX,sell,20
367,APPL,buy,4
368,AMD,sell,15
369,META,sell,7
370,AMD,buy,18
371,APPL,sell,16
372,IBM,sell,20
373,NVDA,sell,11
374,AMD,buy,12
375,AMZN,sell,7
376,NVDA,buy,3
377,APPL,sell,7
378,AMD,buy,13
379,AMZN,buy,18
380,META,sell,3
381,GOOG,sell,3
382,NFLX,sell,6
383,IBM,buy,6
384,GOOG,sell,13
385,AMZN,buy,13
386,AMD,buy,11
387,AMZN,sell,12
388,GOOG,sell,19
389,GOOG,buy,6
390,META,sell,17
391,GOOG,buy,2
392,NFLX,sell,19
393,TSLA,buy,9
394,NVDA,buy,19
395,TSLA,buy,3
396,META,buy,2
397,NFLX,buy,3
398,APPL,sell,7
399,AMD,buy,13
400,APPL,buy,3
401,IBM,buy,6
402,TSLA,buy,8
403,APPL,buy,20
404,NVDA,sell,5
405,GOOG,sell,16
406,MSFT,sell,3
407,TSLA,buy,5
408,MSFT,buy,12
409,GOOG,buy,11
410,GOOG,buy,8
411,MSFT,buy,6
412,META,sell,19
413,IBM,buy,14
414,IBM,sell,18
415,AMZN,sell,17
416,META,buy,1
417,NFLX,buy,14
418,TSLA,sell,11
419,TSLA,buy,1
420,GOOG,sell,10
421,NVDA,sell,18
422,TSLA,sell,1
423,IBM,buy,17
424,AMD,sell,5
425,AMZN,sell,16
426,AMD,buy,12
427,MSFT,sell,7
428,AMZN,buy,17
429,META,sell,19
430,META,sell,1
431,META,buy,2
432,MSFT,sell,9
433,NFLX,sell,19
434,MSFT,sell,13
435,NFLX,buy,8
436,META,sell,8
437,IBM,buy,14
438,GOOG,sell,1
439,NVDA,sell,19
440,GOOG,sell,10
441,AMZN,sell,17
442,GOOG,sell,12
