transaction_number,stock_name,type,quantity
0,AMD,sell,13
1,AMD,sell,1
2,META,buy,6
3,TSLA,sell,18
4,MSFT,buy,14
5,NVDA,buy,13
6,TSLA,buy,5
7,META,sell,11
8,IBM,buy,1
9,AMZN,sell,20
10,APPL,buy,12
11,AMD,buy,1
12,TSLA,sell,18
13,IBM,sell,13
14,GOOG,sell,14
15,AMZN,buy,20
16,MSFT,buy,18
17,TSLA,sell,1
18,AMZN,sell,19
19,IBM,sell,10
20,AMD,sell,13
21,TSLA,buy,16
22,TSLA,buy,18
23,NVDA,buy,3
24,GOOG,sell,15
25,IBM,sell,6
26,TSLA,sell,4
27,GOOG,buy,8
28,TSLA,buy,13
29,MSFT,buy,14
30,AMD,sell,15
31,AMD,buy,5
32,TSLA,buy,16
33,NVDA,buy,3
34,APPL,buy,19
35,TSLA,buy,19
36,IBM,buy,13
37,NFLX,sell,12
38,AMD,sell,16
39,GOOG,buy,15
40,MSFT,buy,10
41,TSLA,sell,18
42,AMD,buy,19
43,IBM,sell,9
44,NFLX,sell,11
45,APPL,buy,16
46,AMD,sell,18
47,META,sell,17
48,NFLX,buy,13
49,AMD,buy,19
50,TSLA,sell,2
51,AMD,sell,15
52,APPL,buy,5
53,APPL,buy,15
54,APPL,buy,4
55,AMZN,buy,11
56,IBM,buy,18
57,GOOG,buy,10
58,IBM,buy,6
59,IBM,buy,8
60,APPL,sell,19
61,MSFT,buy,15
62,AMD,sell,14
63,AMD,buy,16
64,MSFT,buy,18
65,MSFT,sell,15
66,AMZN,sell,10
67,GOOG,buy,9
68,APPL,buy,6
69,APPL,buy,15
70,NVDA,buy,2
71,GOOG,buy,5
72,NFLX,sell,7
73,META,sell,9
74,APPL,sell,5
75,APPL,sell,5
76,META,buy,5
77,APPL,buy,18
78,META,buy,2
79,AMD,sell,1
80,AMZN,buy,1
81,TSLA,buy,6
82,IBM,sell,10
83,GOOG,sell,19
84,IBM,sell,7
85,AMZN,sell,11
86,NVDA,sell,8
87,NVDA,sell,20
88,TSLA,buy,19
89,NFLX,sell,16
90,AMZN,sell,4
91,GOOG,buy,17
92,AMD,sell,2
93,GOOG,buy,6
94,AMZN,sell,14
95,AMZN,buy,9
96,META,sell,16
97,AMZN,sell,1
98,IBM,sell,16
99,IBM,buy,18
100,MSFT,buy,12
101,MSFT,buy,12
102,APPL,buy,16
103,TSLA,sell,3
104,GOOG,buy,7
105,NFLX,buy,3
106,AMZN,buy,19
107,TSLA,sell,14
108,APPL,buy,2
109,APPL,sell,15
110,TSLA,buy,7
111,GOOG,buy,14
112,AMZN,sell,19
113,AMD,sell,17
114,META,sell,4
115,NFLX,buy,11
116,AMZN,sell,3
117,AMD,buy,16
118,APPL,buy,2
119,GOOG,buy,12
120,AMZN,buy,1
121,APPL,buy,4
122,AMD,buy,15
123,NVDA,buy,2
124,AMZN,buy,5
125,AMD,buy,18
126,NFLX,sell,1
127,TSLA,sell,1
128,META,sell,20
129,NVDA,sell,11
130,NVDA,sell,20
131,MSFT,sell,1
132,GOOG,buy,2
133,AMD,buy,9
134,IBM,buy,8
135,META,buy,17
136,IBM,buy,12
137,MSFT,sell,20
138,GOOG,buy,18
139,TSLA,buy,2
140,GOOG,buy,9
141,IBM,sell,4
142,MSFT,buy,3
143,GOOG,sell,17
144,NFLX,buy,8
145,NFLX,sell,17
146,IBM,sell,18
147,META,buy,4
148,MSFT,buy,16
149,GOOG,sell,4
150,IBM,sell,7
151,AMD,buy,3
152,AMD,sell,6
153,NFLX,buy,17
154,GOOG,sell,4
155,GOOG,buy,5
156,GOOG,buy,18
157,META,sell,13
158,AMD,sell,15
159,TSLA,buy,13
160,NVDA,buy,2
161,AMD,sell,11
162,APPL,buy,9
163,AMD,buy,16
164,IBM,buy,18
165,NFLX,buy,10
166,AMD,sell,6
167,TSLA,sell,8
168,APPL,sell,12
169,APPL,sell,2
170,TSLA,buy,19
171,GOOG,sell,9
172,MSFT,sell,18
